,CensusTract,State,County,Urban,Pop2010,OHU2010,LATracts20,lapop20share,PovertyRate,MedianFamilyIncome,lahunvhalfshare,lasnaphalfshare,lakids1,Lat,Long
0,2013000100,Alaska,Aleutians East Borough,0,3141,553,1,35.63,15.4,77941.0,23.69,12.44,346.0,55.2437223,-161.9507485
1,2016000100,Alaska,Aleutians West Census Area,0,1185,285,1,100.0,16.6,61250.0,36.24,13.3,204.0,51.9594469,178.338813
2,2050000100,Alaska,Bethel Census Area,0,9483,2286,1,59.87,36.4,41250.0,78.89,53.35,3500.0,60.4122909,-162.6687595
3,2050000300,Alaska,Bethel Census Area,0,1450,469,1,100.0,27.6,45833.0,66.63,42.86,485.0,61.468804,-156.6922064
4,2068000100,Alaska,Denali Borough,0,1826,806,1,99.8,16.9,102500.0,3.11,5.63,411.0,63.6827316,-150.0267191
5,2070000100,Alaska,Dillingham Census Area,0,2466,692,1,70.14,22.5,44808.0,67.67,45.03,896.0,59.5784312,-157.7440524
6,2090001700,Alaska,Fairbanks North Star Borough,0,1422,566,1,43.74,8.5,71989.0,0.94,3.73,382.0,64.5528318,-145.7004439
7,2105000300,Alaska,Hoonah-Angoon Census Area,0,2055,872,1,99.27,9.6,73594.0,31.21,13.84,410.0,58.0764336,-135.1850997
8,2122000100,Alaska,Kenai Peninsula Borough,0,373,85,1,99.99,22.6,48125.0,26.53,36.73,50.0,60.1330992,-152.8251723
9,2122000300,Alaska,Kenai Peninsula Borough,0,895,431,1,66.48,5.7,76875.0,1.18,3.3,140.0,60.6087419,-149.4586399
10,2122001200,Alaska,Kenai Peninsula Borough,0,966,387,1,44.89,20.7,59808.0,29.6,17.87,254.0,59.3565642,-151.771544
11,2150000100,Alaska,Kodiak Island Borough,0,1832,700,1,35.16,16.0,91875.0,18.78,10.8,470.0,57.5536114,-153.6309109
12,2164000100,Alaska,Lake and Peninsula Borough,0,1631,553,1,99.96,15.9,48984.0,46.91,24.0,492.0,58.2050652,-156.7051884
13,2180000100,Alaska,Nome Census Area,0,5725,1529,1,37.97,31.9,42500.0,73.79,42.29,1720.0,64.7836858,-164.1889119
14,2185000200,Alaska,North Slope Borough,0,2690,748,1,39.33,16.8,65962.0,59.74,18.78,616.0,69.5790095,-154.2222177
15,2185000300,Alaska,North Slope Borough,0,2527,1,1,95.41,1.2,0.0,0.0,0.0,0.0,70.1018857,-149.8673597
16,2188000100,Alaska,Northwest Arctic Borough,0,4322,965,1,63.71,30.6,45724.0,79.5,45.14,1464.0,67.0770478,-160.0167753
17,2198000100,Alaska,Prince of Wales-Hyder Census Area,0,1685,729,1,56.73,15.4,54688.0,11.47,14.74,281.0,55.5184905,-132.7447917
18,2198000300,Alaska,Prince of Wales-Hyder Census Area,0,87,48,1,100.0,0.0,0.0,0.0,0.0,10.0,55.9547008,-130.1839812
19,2240000100,Alaska,Southeast Fairbanks Census Area,0,2219,902,1,33.37,21.5,60337.0,11.93,13.49,465.0,63.8450778,-142.6414889
20,2261000100,Alaska,Valdez-Cordova Census Area,0,2952,1249,1,47.04,12.8,74231.0,11.97,15.37,661.0,62.034479,-143.9221674
21,2290000100,Alaska,Yukon-Koyukuk Census Area,0,1311,558,1,55.51,33.2,37250.0,50.79,30.29,205.0,66.9848103,-144.4691658
22,2290000200,Alaska,Yukon-Koyukuk Census Area,0,1461,595,1,100.0,19.0,63750.0,30.22,22.13,355.0,65.9920784,-150.7374061
23,2290000300,Alaska,Yukon-Koyukuk Census Area,0,1758,658,1,100.0,24.0,50132.0,53.45,31.48,528.0,65.3573446,-156.2150948
24,2290000400,Alaska,Yukon-Koyukuk Census Area,0,1058,406,1,100.0,27.4,46667.0,57.72,31.74,311.0,62.9228127,-156.9418757
25,4001942600,Arizona,Apache County,0,1578,447,1,93.99,39.6,33542.0,13.66,38.77,531.0,36.749477,-109.8578291
26,4001942700,Arizona,Apache County,0,5628,1700,1,98.07,39.6,30824.0,12.22,26.44,1867.0,36.7552563,-109.3680582
27,4001944100,Arizona,Apache County,0,5870,1632,1,74.55,48.4,29922.0,19.75,36.15,2077.0,36.3889115,-109.316317
28,4001944300,Arizona,Apache County,0,6958,2088,1,24.59,40.5,33681.0,16.47,39.45,2463.0,36.3848205,-109.8233129
29,4001944901,Arizona,Apache County,0,4021,1207,1,22.11,41.7,33456.0,20.62,27.96,1402.0,35.6217526,-109.3752943
30,4001945002,Arizona,Apache County,0,3916,1264,1,31.55,37.8,33958.0,16.59,27.57,1150.0,35.4164983,-109.1802743
31,4001945100,Arizona,Apache County,0,2221,644,1,69.52,37.7,34375.0,10.97,31.89,775.0,35.0870836,-109.3201073
32,4003000100,Arizona,Cochise County,0,1971,910,1,82.97,14.9,42467.0,2.75,11.77,366.0,32.1897342,-109.3988452
33,4003000203,Arizona,Cochise County,0,2740,1316,1,47.94,12.6,53350.0,5.37,6.46,383.0,32.0559187,-109.8118843
34,4003000500,Arizona,Cochise County,0,5651,1497,1,32.02,17.0,52903.0,6.8,12.28,648.0,31.693002,-109.4347432
35,4005001500,Arizona,Coconino County,0,3186,1519,1,28.91,8.7,75574.0,0.15,6.67,463.0,34.8019504,-111.1794127
36,4005002200,Arizona,Coconino County,0,6457,2530,1,14.7,4.2,91599.0,0.53,6.3,1586.0,35.5776471,-111.7624697
37,4005002300,Arizona,Coconino County,0,6674,2688,1,47.39,9.3,81029.0,6.66,6.2,1134.0,35.7182452,-112.600369
38,4005942201,Arizona,Coconino County,0,4073,1048,1,40.07,27.1,46250.0,13.51,22.65,1368.0,36.5452151,-111.3261199
39,4005942202,Arizona,Coconino County,0,3813,962,1,98.47,33.5,39688.0,20.63,29.21,1433.0,36.7493591,-111.0190583
40,4005945000,Arizona,Coconino County,0,4180,1122,1,47.03,37.7,34107.0,16.71,37.47,1334.0,36.1799965,-111.5543698
41,4005945100,Arizona,Coconino County,0,3679,1062,1,75.35,28.4,47167.0,13.12,33.17,1128.0,35.7426632,-111.0304951
