,CensusTract,State,County,Urban,Pop2010,OHU2010,LA1and10,lapop20share,PovertyRate,MedianFamilyIncome,lahunvhalfshare,lasnaphalfshare,lakids1,LATracts10,Lat,Long
0,1001020100,Alabama,Autauga County,1,1912,693,1,0.0,11.3,81250.0,0.79,13.33,504.0,1,32.4771112,-86.4903033
1,1001020200,Alabama,Autauga County,1,2170,743,1,0.0,17.9,49000.0,12.47,21.7,406.0,1,32.475758,-86.4724678
2,1001020300,Alabama,Autauga County,1,3373,1256,1,0.0,15.0,62609.0,3.09,11.05,416.0,1,32.4740243,-86.4597033
3,1001020400,Alabama,Autauga County,1,4386,1722,1,0.0,2.8,70607.0,1.13,4.88,346.0,1,32.4710782,-86.4446805
4,1001020500,Alabama,Autauga County,1,10766,4082,1,0.0,15.2,96334.0,4.01,5.76,715.0,1,32.4589157,-86.4218165
5,1001020600,Alabama,Autauga County,1,3668,1311,1,0.0,21.6,69521.0,5.54,16.82,955.0,1,32.447347,-86.4768023
6,1001020700,Alabama,Autauga County,1,2891,1188,1,0.0,30.5,39875.0,1.91,22.12,298.0,1,32.430522,-86.4369107
7,1001021000,Alabama,Autauga County,0,2894,1085,1,0.0,22.7,60900.0,0.8,14.31,750.0,1,32.604932,-86.7487062
8,1001021100,Alabama,Autauga County,0,3320,1306,1,0.0,24.1,49833.0,20.72,17.36,750.0,1,32.4574129,-86.7290029
9,1003010100,Alabama,Baldwin County,0,3804,1510,1,0.0,10.2,56464.0,5.62,8.09,917.0,1,31.1118693,-87.7880651
10,1003010500,Alabama,Baldwin County,1,4815,1798,1,0.0,14.3,69951.0,4.23,10.56,418.0,1,30.8969612,-87.7737368
11,1003010600,Alabama,Baldwin County,1,3325,1186,1,0.0,27.7,50536.0,6.93,21.99,454.0,1,30.8531544,-87.7701913
12,1003010701,Alabama,Baldwin County,1,7882,3054,1,0.0,4.8,112717.0,2.12,1.1,1020.0,1,30.7174494,-87.9529225
13,1003010704,Alabama,Baldwin County,1,5055,1967,1,0.0,13.4,80678.0,2.13,4.26,1126.0,1,30.6477601,-87.8838007
14,1003010705,Alabama,Baldwin County,1,8331,3689,1,0.0,14.2,76343.0,2.48,2.66,931.0,1,30.6604947,-87.9557115
15,1003010800,Alabama,Baldwin County,1,6861,2770,1,0.0,8.3,92714.0,3.41,3.33,615.0,1,30.5948374,-87.9005515
16,1003010906,Alabama,Baldwin County,1,4302,1597,1,0.0,15.5,51630.0,1.63,11.62,817.0,1,30.5641292,-87.6870074
17,1003011101,Alabama,Baldwin County,1,8397,3423,1,0.0,5.5,89861.0,2.83,3.81,793.0,1,30.5190072,-87.8386361
18,1003011202,Alabama,Baldwin County,1,5065,2282,1,0.0,5.5,79063.0,2.05,3.7,348.0,1,30.5055705,-87.9100953
